m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,32,128,12,1,6,1,3,1,7662,511,38966,1022,38966,511,74,1,1533,511,3,1,40597
64,32,128,12,1,6,1,3,1,7662,511,38966,1022,38966,511,74,1,1533,511,3,1,40597
64,32,128,12,1,6,1,3,1,7662,511,22614,1022,22614,511,42,1,1533,511,3,1,24213
64,32,128,12,1,6,1,3,1,7662,511,71670,1022,71670,511,138,1,1533,511,3,1,73365
64,32,128,12,1,6,1,3,1,7662,511,39988,1022,39988,511,76,1,1533,511,3,1,41621
64,32,64,6,1,3,1,3,1,9207,1023,198081,2046,198081,1023,191,1,3069,1023,3,1,201356
64,32,64,6,1,3,1,3,1,9207,1023,134655,2046,134655,1023,129,1,3069,1023,3,1,137868
64,32,64,6,1,3,1,3,1,9207,1023,134655,2046,134655,1023,129,1,3069,1023,3,1,137868
64,32,64,6,1,3,1,3,1,9207,1023,101919,2046,101919,1023,97,1,3069,1023,3,1,105100
64,32,64,6,1,3,1,3,1,9207,1023,200127,2046,200127,1023,193,1,3069,1023,3,1,203404
64,32,64,6,1,3,1,3,1,9207,1023,198081,2046,198081,1023,191,1,3069,1023,3,1,201356
64,32,64,6,1,3,1,3,1,9207,1023,135678,2046,135678,1023,130,1,3069,1023,3,1,138892
64,32,64,6,1,3,1,3,1,9207,1023,104988,2046,104988,1023,100,1,3069,1023,3,1,108172
64,32,64,6,1,3,1,3,1,9207,1023,104988,2046,104988,1023,100,1,3069,1023,3,1,108172
64,32,64,6,1,3,1,3,1,9207,1023,72252,2046,72252,1023,68,1,3069,1023,3,1,75404
64,32,64,6,1,3,1,3,1,9207,1023,170460,2046,170460,1023,164,1,3069,1023,3,1,173708
64,32,64,6,1,3,1,3,1,9207,1023,135678,2046,135678,1023,130,1,3069,1023,3,1,138892
64,32,64,6,1,3,1,3,1,9207,1023,102942,2046,102942,1023,98,1,3069,1023,3,1,106124
64,32,64,6,1,3,1,3,1,9207,1023,88620,2046,88620,1023,84,1,3069,1023,3,1,91788
64,32,64,6,1,3,1,3,1,9207,1023,88620,2046,88620,1023,84,1,3069,1023,3,1,91788
64,32,64,6,1,3,1,3,1,9207,1023,55884,2046,55884,1023,52,1,3069,1023,3,1,59020
