m,n,k,mk_input,mk_input_iterations,kn_input,kn_input_iterations,mn_output,mn_output_iterations,read,read_iterations,compute,compute_iterations,pipelined_read_compute,pipelined_read_compute_iterations,final_compute,final_compute_iterations,write,write_iterations,reduction,reduction_iterations,total
64,64,1024,91,1,91,1,6,1,204521290,2097151,521862924,4194302,521862924,2097151,244,1,12582906,2097151,5,1,534446267
64,64,1024,91,1,91,1,6,1,204521290,2097151,391839562,4194302,391855434,2097151,182,1,12582906,2097151,5,1,404438715
64,64,1024,91,1,91,1,6,1,204521290,2097151,391839562,4194302,391855434,2097151,182,1,12582906,2097151,5,1,404438715
64,64,1024,91,1,91,1,6,1,204521290,2097151,324730730,4194302,325270858,2097151,150,1,12582906,2097151,5,1,337854107
64,64,1024,91,1,91,1,6,1,204521290,2097151,526057226,4194302,526057226,2097151,246,1,12582906,2097151,5,1,538640571
64,64,1024,91,1,91,1,6,1,204521290,2097151,521862924,4194302,521862924,2097151,244,1,12582906,2097151,5,1,534446267
64,64,1024,91,1,91,1,6,1,204521290,2097151,633011927,4194302,633011927,2097151,297,1,12582906,2097151,5,1,645595323
64,64,1024,91,1,91,1,6,1,204521290,2097151,507182867,4194302,507182867,2097151,237,1,12582906,2097151,5,1,519766203
64,64,1024,91,1,91,1,6,1,204521290,2097151,507182867,4194302,507182867,2097151,237,1,12582906,2097151,5,1,519766203
64,64,1024,91,1,91,1,6,1,204521290,2097151,372965203,4194302,373128522,2097151,173,1,12582906,2097151,5,1,385711794
64,64,1024,91,1,91,1,6,1,204521290,2097151,775618195,4194302,775618195,2097151,365,1,12582906,2097151,5,1,788201659
64,64,1024,91,1,91,1,6,1,204521290,2097151,633011927,4194302,633011927,2097151,297,1,12582906,2097151,5,1,645595323
64,64,1024,91,1,91,1,6,1,204521290,2097151,2333801388,4194302,2333801388,2097151,1108,1,12582906,2097151,5,1,2346385595
